"gender";"age_donor_cat";"region";"donor_yes_no";"bonus_status";"sum_confirmed_donations";"sum_count_bonuses_taken";"sum_unconfirmed_donations";"cnt_donor";"cnt_networks";"cnt_connection_donor"
Женский;от_18_до_30;Россия, Свердловская область, Екатеринбург;не_является_донором;без_бонусов;0;0;18;202;87;182
нет_данных;нет данных;Россия, Москва;является донором;тратит_бонусы;371;310;22;201;70;176
нет_данных;нет данных;Россия, Астраханская область, Астрахань;не_является_донором;без_бонусов;0;0;21;201;156;140
нет_данных;нет данных;Россия, Вологодская область, Вологда;не_является_донором;без_бонусов;0;0;13;198;182;113
нет_данных;нет данных;Россия, Краснодарский край, Сочи;не_является_донором;без_бонусов;0;0;13;197;151;140
Женский;от_18_до_30;Россия, Новосибирская область, Новосибирск;не_является_донором;без_бонусов;0;0;15;195;81;169
Мужской;от_30_до_40;Россия, Санкт-Петербург;является донором;без_бонусов;1431;0;75;194;116;191
нет_данных;нет данных;Россия, Ставропольский край, Ставрополь;не_является_донором;без_бонусов;0;0;19;192;144;132
нет_данных;нет данных;Россия, Кемеровская область, Кемерово;является донором;без_бонусов;415;0;6;190;163;186
Женский;от_18_до_30;Россия, Москва;является донором;тратит_бонусы;1694;466;86;190;104;189
нет_данных;нет данных;Россия, Самарская область, Самара;является донором;без_бонусов;732;0;36;189;162;180
Мужской;от_18_до_30;Россия, Санкт-Петербург;является донором;без_бонусов;880;0;41;186;119;176
Женский;нет данных;Россия, Москва;является донором;без_бонусов;776;0;52;185;86;158
Мужской;нет данных;Россия, Москва;является донором;без_бонусов;1126;0;52;184;89;163
нет_данных;нет данных;Россия, Смоленская область, Смоленск;не_является_донором;без_бонусов;0;0;28;182;147;124
Мужской;нет данных;Россия, Москва;является донором;тратит_бонусы;1166;389;30;181;71;163
нет_данных;нет данных;Россия, Орловская область, Орёл;не_является_донором;без_бонусов;0;0;61;181;137;124
нет_данных;нет данных;Украина, Сумская область, Сумы;не_является_донором;без_бонусов;0;0;3;180;158;135
нет_данных;нет данных;Россия, Липецкая область, Липецк;не_является_донором;без_бонусов;0;0;18;178;136;127
нет_данных;нет данных;Россия, Волгоградская область, Волгоград;является донором;без_бонусов;518;0;16;177;153;159
Женский;от_40_до_50;Россия, Санкт-Петербург;не_является_донором;без_бонусов;0;0;38;176;56;168
Мужской;от_30_до_40;Россия, Татарстан, Казань;является донором;без_бонусов;1347;0;91;174;71;173
нет_данных;нет данных;Украина, Черкасская область, Черкассы;не_является_донором;без_бонусов;0;0;0;173;145;123
нет_данных;нет данных;Россия, Воронежская область, Воронеж;является донором;без_бонусов;423;0;6;171;146;149
нет_данных;нет данных;Россия, Ярославская область, Рыбинск;не_является_донором;без_бонусов;0;0;11;170;141;107
нет_данных;нет данных;Кыргызстан, Бишкек;не_является_донором;без_бонусов;0;0;2;170;108;131
нет_данных;нет данных;Беларусь, Витебская область, Витебск;не_является_донором;без_бонусов;0;0;0;169;157;125
нет_данных;нет данных;Россия, Мордовия, Саранск;не_является_донором;без_бонусов;0;0;21;169;143;94
Женский;от_18_до_30;Россия, Татарстан, Казань;является донором;без_бонусов;519;0;35;166;87;154
нет_данных;нет данных;Россия, Новгородская область, Великий Новгород;не_является_донором;без_бонусов;0;0;15;164;151;91
нет_данных;нет данных;Россия, Владимирская область, Владимир;не_является_донором;без_бонусов;0;0;48;164;129;122
нет_данных;нет данных;_, Херсонская область, Херсон;не_является_донором;без_бонусов;0;0;0;164;152;118
нет_данных;нет данных;Россия, Челябинская область, Магнитогорск;не_является_донором;без_бонусов;0;0;15;164;138;105
Мужской;от_40_до_50;Россия, Москва;является донором;без_бонусов;2102;0;39;162;62;156
нет_данных;нет данных;Россия, Тюменская область, Тюмень;является донором;без_бонусов;351;0;7;158;128;147
Женский;от_30_до_40;Россия, Москва;является донором;тратит_бонусы;2485;506;64;155;78;153
нет_данных;нет данных;Украина, Полтавская область, Полтава;не_является_донором;без_бонусов;0;0;2;155;137;106
нет_данных;нет данных;Россия, Тверская область, Тверь;является донором;без_бонусов;446;0;28;152;120;142
нет_данных;нет данных;Россия, Тамбовская область, Тамбов;не_является_донором;без_бонусов;0;0;17;151;117;85
нет_данных;нет данных;Россия, Ханты-Мансийский Автономный округ - Югра АО, Нижневартовск;не_является_донором;без_бонусов;0;0;20;151;117;106
нет_данных;нет данных;Россия, Бурятия, Улан-Удэ;не_является_донором;без_бонусов;0;0;18;150;115;105
Мужской;старше_70;нет_данных;не_является_донором;без_бонусов;0;0;0;149;82;110
нет_данных;нет данных;Россия, Омская область, Омск;является донором;без_бонусов;254;0;2;145;122;134
нет_данных;нет данных;Россия, Саратовская область, Саратов;является донором;без_бонусов;428;0;13;143;118;132
Женский;от_18_до_30;Россия, Краснодарский край, Краснодар;не_является_донором;без_бонусов;0;0;40;143;56;119
нет_данных;нет данных;Россия, Рязанская область, Рязань;является донором;без_бонусов;355;0;15;143;122;131
нет_данных;нет данных;Россия, Тюменская область, Новая Казань;не_является_донором;без_бонусов;0;0;0;142;99;92
нет_данных;нет данных;Россия, Татарстан, Нижнекамск;не_является_донором;без_бонусов;0;0;18;142;105;105
Женский;нет данных;Россия, Москва;не_является_донором;без_бонусов;0;0;48;142;25;113
Мужской;от_40_до_50;Россия, Санкт-Петербург;не_является_донором;без_бонусов;0;0;105;142;43;135
Мужской;от_18_до_30;Россия, Татарстан, Казань;является донором;без_бонусов;713;0;34;140;82;128
нет_данных;нет данных;Россия, Алтайский край, Барнаул;является донором;без_бонусов;329;0;4;140;117;130
нет_данных;нет данных;Беларусь, Брестская область, Брест;не_является_донором;без_бонусов;0;0;1;138;130;108
Женский;от_40_до_50;Россия, Татарстан, Казань;не_является_донором;без_бонусов;0;0;21;137;43;124
Женский;от_18_до_30;Россия, Воронежская область, Воронеж;не_является_донором;без_бонусов;0;0;7;137;54;119
нет_данных;нет данных;Казахстан, Карагандинская область, Караганда;не_является_донором;без_бонусов;0;0;3;136;116;104
нет_данных;нет данных;Казахстан, Восточно-Казахстанская область, Усть-Каменогорск;не_является_донором;без_бонусов;0;0;0;135;115;98
нет_данных;нет данных;Россия, Вологодская область, Череповец;не_является_донором;без_бонусов;0;0;5;135;124;78
нет_данных;нет данных;Россия, Волгоградская область, Волжский;не_является_донором;без_бонусов;0;0;17;135;97;105
Женский;от_30_до_40;Россия, Новосибирская область, Новосибирск;не_является_донором;без_бонусов;0;0;56;134;57;125
нет_данных;нет данных;Беларусь, Могилевская область, Могилев;не_является_донором;без_бонусов;0;0;0;134;124;101
